,Surname,Caste/Community/Ethnicity,Clan/Sub-caste/Gotra
0,Acharya,Bahun,Kaudinya (Purbiya)
1,Acharya,Newar-Brahman,Rajopadhyaya Devabhaju Brahman
2,Adhikari,Bahun,"Kashyap, Bharadwaj, Atreya, Mandabya (Purbiya)"
3,Agnihotri,Newar-Brahman,Rajopadhyaya Devabhaju Brahman
4,Agri,Magar,
5,Airi,Khas-Chhetri,
6,Ale,Magar,
7,Amast,Tarai-Hindu,Kayastha
8,Amatya,Newar-Kshatriya,Shrestha/Sheshya
9,Amgai/Amgain,Bahun,
10,Angbahang,Limbu,
11,Angraten,Tamang,
12,Angthupuhang,Limbu,
13,Ansari,Muslim,
14,Araqi,Muslim,
15,Arjal/Arjyal/Arjel/Aryal,Bahun,Atreya (Purbiya)
16,Aslami,Magar,
17,Athpahare,Rai,
18,Awa,Newar,Uray/Udhas
19,Awasthi,Bahun,
20,Bachhgoti Chauhan,Tarai-Hindu,Rajput
21,Badahi,Tarai-Hindu,
22,Badal,Bahun,Kashyap (Purbiya)
23,Badi,Dalit,Badi
24,Bagyal,Bahun,
25,Baijali,Magar,Gharti
26,Bainge,Rai,
27,Bajgain,Bahun,
28,Bajyu,Tamang,
29,Bakharel/Bakhrel,Bahun,
30,Balam,Tamang,
31,Balami,Newar,Balami
32,Bam,Thakuri,
33,Bamanayata,Sunuwar,
34,Bammala,Newar,Gathu
35,Bania/Baniya,Tarai-Hindu,Vaishya
36,Baniya,Khas-Chhetri,
37,Banshi,Thakuri,
38,Bantar,Tarai-Dalit,
39,Bantava,Rai,
40,Banth,Tharu,
41,Bantr,Tharu,
42,Barai,Tarai-Hindu,
43,Baral,Bahun,Kaushik (Purbiya)
44,Bardiya,Tharu,
45,Barma,Thakuri,
46,Barman/Varman,Newar-Kshatriya,
47,Baruwal,Khas-Chhetri,
48,Baskota/Banskota,Bahun,Kaudinya (Purbiya)
49,Basnet/Basnyat,Khas-Chhetri,
50,Basti,Bahun,Atreya (Purbiya)
51,Bastola,Bahun,Garga (Purbiya)
52,Basyal/Bashyal,Bahun,
53,Beduwar,Tarai-Hindu,Rajput
54,Belbase,Bahun,(Purbiya)
55,Benglasi,Magar,
56,Bha,Newar,Bha/Karanjit
57,Bhadel,Newar-Kshatriya,Shrestha/Sheshya
58,Bhagat,Tharu,
59,Bhandari,Khas-Chhetri,
60,Bhanya,Tharu,
61,Bhat,Muslim,
62,Bhatnagar,Tarai-Hindu,Kayastha
63,Bhatta,Tarai-Brahman,
64,Bhatta,Newar,Bhatta Brahman
65,Bhattachan,Thakali,
66,Bhattarai,Bahun,Bashista (Purbiya)
67,Bhetwal/Bhetuwal,Bahun,Garga (Kumai)
68,Bhihar,Tarai-Hindu,
69,Bhotgamiya,Tharu,
