Name,Description,Indian
Aabishkar,Invention,
Aadarsh,"One who has principles, ideal",
Aadarsh; Aaadarsh,"One who has principles, ideal",
Aadesh,Command; message,
Aadhin,Aadhin,
Aadi,First; most important,
Aadinath,"God, Supreme Ruler of the Universe, the first God",
Aadishankar,"Sri Shankaracharya, founder of Adwaitha Philosophy",
Aaditey/Aaditya,Son of Aditi,
Aahlaad,Delight,
Aahrav,Pease advise us the meaning of this name,
Aajad,Free from social conventions or traditional ideas; Liberated,
"Aakaash, Akash",Sky,
Aakanksha,Desire,
Aakar,"Form, shape",
Aakarshan,Attraction,
Aalok/Alok,Cry of victory,
Aamod/Amod,Pleasure,
Aarav,"Melodious music to signify a person who is ""well-composed, poised and at peace with himself""",
Aaron,"Of imposing height.; A noble, elevated, or lofty nature;",
Aashish/Ashish/Ashis,Blessings; Aashirwad,
Aasish,Blessings,
Aastik,Who has faith in god,
Aatish,"Explosive, a Dynamic person",
Aatiz,"Separated soul, restriction for loving other",
Aawishkar,M,
Aayam,"Aagaman, something arrive, newly",
Aayan,Please advise us the meaning of this name.,
Aayush,Blessings,
Abhay/Abhaya,"Fearless, son of Dharma",
Abhayananda,One who is delights in remaining fearless,
Abheek/Abhik,Fearless warload,
Abhichandra,"With a moon like face, one of the 7 Manus of the Sevtambara jaina sect",
Abhidi,Radiant,
Abhijat,"Noble, wise",
Abhijaya/Abhijay,"Conquest, complete victory",
Abhijit/Abhijeet,A constellation dear to Hari,
Abhik,Fearless,
Abhilash/Abilash/Avilash,Wish/ desire,
Abhimand,Gladdening,
Abhimani,"Full of pride, another name for Agni as the eldest son of Brahma",
Abhimanyu,Arjuna's son,
Abhimoda,"Joy, delight",
Abhinabhas,"Renowned, famous",
Abhinanda,"To rejoice, to celebrate, to praise, to bless, delight",
Abhinandana,"Felicitous, welcoming",
Abhinatha,"Lord of desires, another name for kama",
Abhinav/Abhinava,"New, young, fresh, modern, a sakta notable for his great leaning and spiritual",
Abhiraj,Fearless king,
Abhirath,Great charioteer,
Abhirup,"Handsome, pleasing",
Abhishek,An auspicious bath for a deity; anointing,
Abhisoka,"Passionate, loving",
Abhisumat,"Radiant, another name of sun",
Abhisyanta,"Splendid, a son of Kuru and Vahini",
Abhivira,"Surrounded by heroes, a commander",
Abhyagni,"Towards the fire, a son of Aitasa",
Abhyudaya,"Sunrise, elevation, increase, prosperity",
Abhyudita/Abhyudit,"Elevated, risen, prosperous",
Abi,Please advise us the meaning of this name.,
Abinash,"He is funny, nice, talkative, friendly.",
Abinash; Avinash,Indestructible,
Abinaya Karki,Please add this name. I want to know. Thank you,
Abinesh,Who has no death,
Abiral,Never ending; Always ahead,
Abisesh,Please advise us the meaning of this name.,
Abishek,Generally means Shower of milk and water over an Idol,
Achalendra,"Lord of the immovable, the Himalayas",
Achanda,"Not of the hot temper, without anger, gentle",
Acharya/Aacharya,"Teacher, another name for Drona, Asvaghosa and Krpa",
Achindra,"Flawless, uninterrupted, perfect",
Achintya,Inconceivable; a name of Lord Shiva; beyond comprehension,
Achyut/Achyuta,Imperishable; indestructible; a name of Vishnu,
Adeeb,A light that shines ..,
Adesh,Command,
Adhik,Greater,
Adhikara,"Principal, controller, right",
Adhipa,"King, ruler",
Adhiraj,King,
Adhita/Adhit,A scholar,
Adikavi,First poet,
Adil,Sincere; just,
Adinath,The first lord; Lord Vishnu,
Adit,"First born, from the beginning",
Aditya,The sun,
Adityanandana,Son of the sun,
Adripathi,Master of the mountains,
Advay,Unique,
Adwaita,Non-duality,
Agastya,Name of a sage,
Agharna,The moon,
Aghat,Destroyer of sin,
Agneya,Son of agni,
Agni,Fire,
Agni/Aagney,Son of the Fire God,
Agrim,Leader; first,
Agriya,First best,
Ainesh,The sun's glory,
Ajamil,A mythological king,
Ajatashatru,"Name of Vishnu, without enemies",
Ajay,Victorious; Unbeatable,
Ajay/Ajaya,"Unconquerable, invincible",
Ajendra,King of mountains,
Ajit,Pease advise us the meaning of this name,
Ajit/Ajeet,"Victorious, unconquerable",
Ajitabh,One who has conquered the sky,
Ajitesh,Lord Vishnu,
Ajmaal,"In arabic or muslim, beautiful baby is called Ajmaal.",
Ajmal,Pious,
"Akash,Akaash,Aakaash",The sky,
Akhil,"Complete, entire",
Akhilesh,Lord of the universe,
Akshan,Eye,
Akshar,Letter,
Akshay/Akshaya,"Indestructible, immortal",
Akshit,Permanent,
Akshyat/Akshat,"Unharmed, uninjured",
Akul,A name of Lord Shiva,
Alaap,Musical prelude,
Alex,Please advise us the meaning of this name.,
Alhad,Joy,
Alish,Alish means very great,
Alok,Brightness,
Alone,Alone santosh,
Amaanat,Treasure,
Amal,"Bright, clean, pure",
Amalendu,Pure like the moon,
Amalesh,The pure one,
Aman,Peace,
Amar,"Forever, immortal",
Amartya,Immortal,
Ambar/Amber,Sky,
Ambarish/Amrish,The sky,
Ambuj,Lotus,
Amesh,Coward Boy,
Ameya,Immeasurable; boundless,
Amil,Invaluable,
Amir,Rich,
Amiri,Amiri,
Amish,"Honest, pure",
Amit,"Endless, boundless",
Amitabh,Boundless lustre/splendor/one with boundless splendour,
Amitesh,One who is Infinite; God,
Amitiyoti,Limitless brightness,
Amiya,Nectar; delight,
Amlesh,Pure,
Amod,Pleasure,
Amogh,Unerring; a name of Lord Ganesh,
Amoha,"Clear, straight",
Amol/Amul,"Priceless, valuable",
Amrish,King of the sky,
Amrit,Nectar,
Amrita mankala laxmi,Amrita poudel amrit poudel laxmi poudel,
Amshu,The smallest particle of a chemical element that can exist.,
Anadi,Eternal,
Anagh,Sinless,
Anand/Aanand,"Bliss, happiness, joy",
Ananga/Anang,Name of Cupid or Kamadeva,
Ananta/Anant,Infinite,
Anek,Many,
Angad/Angada,"Bracelet, brother of Wali & Sugreev",
Anil,The wind god,
Animesh,"Bright, to stare open-eyed",
Anirudh,Please advise us the meaning of this name.,
Anirudh/Anirudra,Free; grandson of Lord Krishna,
Anirvan,Undying,
Anish,Supreme; Lord Vishnu; Lord Shiva,
Aniteja,Immeasurable splendour,
Anjan,Please advise us the meaning of this name.,
Ankit,The chosen one,
Ankur,Sprout; new life,
Ankush,"Control, check, hook",
Anmol,Priceless,
Anniruddha,Son of Pradyummna,
Anshul/Anshuk,Radiant,
Anshuman,Sun,
Anshumat,Luminous,
Anubhav,Experience,
Anugya,Authority,
