Name,Description,,,,,,
Aanchal/Anchal,"Protective shelter, chador",,,,,,
Aapti,Fulfilment,,,,,,
Aarati/Arati,Form of worship,,,,,,
Aastha/Astha,"Faith
(आशा)",,,,,,
Aayushi/Ayushi,One with long life,,,,,,
Abha/Aabha,"Lustre, shine, glow",,,,,,
Abhaya,Fearless,,,,,,
Abhijita,Victorious woman,,,,,,
Abhilasha,Wish or Desire,,,,,,
Achal,"Steady, mountainous, constant",,,,,,
Achala,"Steady, mountainous, constant",,,,,,
Adarsh,Ideal,,,,,,
Adarshini/Aadarshini,Idealistic,,,,,,
Adishree,Exalted,,,,,,
Aditi,"Mother of gods,free and unbounded",,,,,,
Adrika,Celestial,,,,,,
Agrata,Leadership,,,,,,
Agrima,Leadership,,,,,,
Ahalya,"Wife of Rishi Gautam, a woman who was saved by Lord Rama",,,,,,
Ahladita,In happy mood,,,,,,
Aishwarya,Prosperous,,,,,,
Ajala,The earth,,,,,,
Ajanta,A famous Buddist cave,,,,,,
Ajita,A winner,,,,,,
Akanksha,Wish,,,,,,
Akanksha/Aakanksha,Desire,,,,,,
Akriti/Aakriti,"Shape, diagram",,,        ,,,
Akshita,Permanent,,,,,,
Akuti,Princess,,,,,,
Alisha,Protected by God,,,,,,
Alka; Alaka,A girl with a lovely hair,,,,,,
Aloki,Brightness,,,,,,
Alpa,Little,,,,,,
Alpana,Beautiful,,,,,,
Amba,Parvati,,,,,,
Ambi,A goddess,,,,,,
Ambika,Goddess Parvati,,,,,,  
Ambu,Water,,,,,,
Ambuja,Born of a Lotus; Goddess Lakshmi,,,,,,
Ameena/Amina,Trustworthy; faithful,,,,,,
"Amisha,Amishi",Pure,,,,,,
Amita,Limitless,,,,,,
Amodini,Joyful,,,,,,
Amolika,Priceless,,,,,,
Amrita,Nectar,,,,,,
Amshula,Sunny,,,,,,
Amulya,Priceless,,,,,,
Anahita,Graceful,,,,,,
Anamika,"Name of fourth finger, ring finger",,,,,,
Anandi,Jovial,,,,,,
Anandini,Joyful,,,,,,
Anandita,The happy one,,,,,,
Ananta,"Infinite, eternal (woman)",,,,,,
Ananya,"Matchless, Without any Other",,,,,,
Anasuya,Wife of Rishi Atri,,,,,,
Anchal,The decorative end of a sari,,,,,,
