Name,Gender
Aabishkar,1
Aadarsh,1
 Aaadarsh,1
Aadesh,1
Aadhin,1
Aadi,1
Aadinath,1
Aadishankar,1
Aaditey/Aaditya,1
Aahlaad,1
Aahrav,1
Aajad,1
Aakaash,1
 Akash,1
Aakanksha,1
Aakar,1
Aakarshan,1
Aalok/Alok,1
Aamod/Amod,1
Aarav,1
Aaron,1
Aashish/Ashish/Ashis,1
Aasish,1
Aastik,1
Aatish,1
Aatiz,1
Aawishkar,1
Aayam,1
Aayan,1
Aayush,1
Abhay/Abhaya,1
Abhayananda,1
Abheek/Abhik,1
Abhichandra,1
Abhidi,1
Abhijat,1
Abhijaya/Abhijay,1
Abhijit/Abhijeet,1
Abhik,1
Abhilash/Abilash/Avilash,1
Abhimand,1
Abhimani,1
Abhimanyu,1
Abhimoda,1
Abhinabhas,1
Abhinanda,1
Abhinandana,1
Abhinatha,1
Abhinav/Abhinava,1
Abhiraj,1
Abhirath,1
Abhirup,1
Abhishek,1
Abhisoka,1
Abhisumat,1
Abhisyanta,1
Abhivira,1
Abhyagni,1
Abhyudaya,1
Abhyudita/Abhyudit,1
Abi,1
Abinash,1
 Avinash,1
Abinaya Karki,1
Abinesh,1
Abiral,1
Abisesh,1
Abishek,1
Achalendra,1
Achanda,1
Acharya/Aacharya,1
Achindra,1
Achintya,1
Achyut/Achyuta,1
Adeeb,1
Adesh,1
Adhik,1
Adhikara,1
Adhipa,1
Adhiraj,1
Adhita/Adhit,1
Adikavi,1
Adil,1
Adinath,1
Adit,1
Aditya,1
Adityanandana,1
Adripathi,1
Advay,1
Adwaita,1
Agastya,1
Agharna,1
Aghat,1
Agneya,1
Agni,1
Agni/Aagney,1
Agrim,1
Agriya,1
Ainesh,1
Ajamil,1
Ajatashatru,1
Ajay,1
Ajay/Ajaya,1
Ajendra,1
Ajit,1
Ajit/Ajeet,1
Ajitabh,1
Ajitesh,1
Ajmaal,1
Ajmal,1
Akash,1
Akaash,1
Akhil,1
Akhilesh,1
Akshan,1
Akshar,1
Akshay/Akshaya,1
Akshit,1
Akshyat/Akshat,1
Akul,1
Alaap,1
Alex,1
Alhad,1
Alish,1
Alok,1
Alone,1
Amaanat,1
Amal,1
Amalendu,1
Amalesh,1
Aman,1
Amar,1
Amartya,1
Ambar/Amber,1
Ambarish/Amrish,1
Ambuj,1
Amesh,1
Ameya,1
Amil,1
Amir,1
Amiri,1
Amish,1
Amit,1
Amitabh,1
Amitesh,1
Amitiyoti,1
Amiya,1
Amlesh,1
Amod,1
Amogh,1
Amoha,1
Amol/Amul,1
Amrish,1
Amrit,1
Amrita mankala laxmi,1
Amshu,1
Anadi,1
Anagh,1
Anand/Aanand,1
Ananga/Anang,1
Ananta/Anant,1
Anek,1
Angad/Angada,1
Anil,1
Animesh,1
Anirudh,1
Anirudh/Anirudra,1
Anirvan,1
Anish,1
Aniteja,1
Anjan,1
Ankit,1
Ankur,1
Ankush,1
Anmol,1
Anniruddha,1
Anshul/Anshuk,1
Anshuman,1
Anshumat,1
Anubhav,1
Anugya,1
Anuj/Anoj,1
Anup,1
Anupam,1
Anurag,1
Anurag / Anuraag,1
Anuraj,1
Anuttam,1
Aragon,1
Aranab,1
Arbindra,1
Archan,1
Archit,1
Ardhendu,1
Arghya,1
Arhant,1
Arihant,1
Arijit,1
Arindam,1
Arit,1
Arjit,1
Arjun,1
Arnav,1
Arnesh,1
Arokya,1
Arpan,1
Arul,1
Arun,1
Arun Dong,1
Arun Lama,1
Arun Lama Dong,1
Arvind/Arbind/Aravinda,1
Arya,1
Aryaman,1
Aryan,1
Asav,1
Ashank,1
Ashesh,1
Ashis,1
Ashish,1
Ashok,1
Ashok/Ashoka,1
Ashu,1
Ashutosh,1
Ashwin,1
Asim,1
Asim/Aseem/Asheem,1
Aslesh,1
Atal,1
Atanu,1
Athiya,1
Atiya,1
Atma/Aatma,1
Atmajyoti,1
Atman,1
Atmanand,1
Atreya/Atre,1
Atul,1
Atulya,1
Avadhesh,1
Avaneesh/Avanish,1
Avanindra,1
Avanish,1
Avatar,1
Avikshit,1
Avinash,1
Aviyan,1
Ayush,1
Babu,1
Badal,1
Badri,1
Badrinath,1
Baikuntha,1
Bajra/Vajra,1
Bal/Bala,1
Baladitya,1
Balaji,1
Balaraj,1
Balaram,1
Balbir,1
Balchandra,1
Baldev,1
 Balraj,1
 Balwant,1
Balgopal,1
Balgovind,1
Balkrishan,1
Balmani,1
Balmohan,1
Balram,1
Balwant,1
Bandhu,1
Bandhul,1
Bankim,1
Bankimchandra,1
Bansi,1
Bansilal,1
Bappa,1
Barindra,1
Barun/Varun,1
Basant/Vasant,1
Basanta/Basant,1
Basistha,1
Vasishtha,1
Basu/Vasu,1
Basudev/Vasudev,1
Batshal regmi,1
Bebek,1
Bedansh,1
Benju,1
Bhadrak,1
Bhagat,1
Bhagirath,1
Bhagwan,1
Bhairab/Bhairav,1
Bhajan,1
Bharadwaj,1
Bharat,1
Bhargava/Bhargabh,1
Bhaskar,1
Bhaswar,1
Bhaumik,1
